realty_id,realty_type_ID,original_or_copy,link_original_ID,total_price_USD,square_meter_price_USD,credit,E_oselya
32815220,1473,copy,32539202,90 370,1238,YES,NO
32815232,1434,original, ,33 806,939,NO,NO
32815200,1434,original, ,26 664,721,NO,NO
32539175,1434,original, ,69 325,1238,YES,NO
32539195,1434,original, ,42 852,1190,NO,NO
32815158,1434,original, ,63 802,1466,NO,YES
32815083,1434,original, ,32 377,498,NO,NO
32815003,1434,original, ,57 136,879,NO,NO
32814954,1434,original, ,36 186,770,NO,NO
32814586,1436,original, ,51 899,1124,NO,YES
32814545,1434,copy,32811853,24 759,826,NO,NO
32814638,1434,original, ,52 375,649,NO,NO
32814351,1434,copy,32788663,26 664,682,NO,NO
30398199,N/A,original, ,39 805,866,NO,NO
32532159,1434,original, ,57 803,1051,NO,NO
32807909,1434,original, ,38 091,488,NO,NO
32814507,1434,original, ,51 423,833,NO,NO
32814501,1434,original, ,18 569,599,NO,NO
32814439,1434,copy,32788663,26 664,682,NO,NO
32814483,1434,copy,32406717,24 283,639,NO,NO
32813705,1434,copy,32386739,45 709,692,NO,NO
32814305,1434,original, ,51 423,833,NO,NO
32814216,1434,copy,32811853,24 759,826,NO,NO
32814297,1434,copy,32788663,26 664,682,NO,NO
32811653,1436,original, ,42 852,587,NO,NO
32814267,1434,copy,32811853,24 759,826,NO,NO
32811853,1434,original, ,24 759,826,NO,NO
32814177,1434,original, ,51 423,833,NO,NO
32814117,1434,copy,32788663,26 664,684,NO,NO
32814105,1434,copy,32788663,26 664,684,NO,NO
32814050,1434,copy,32811853,24 759,826,NO,NO
32813974,1434,copy,32805573,54 279,1193,NO,NO
32805131,1434,original, ,119 034,2125,NO,YES
32798215,1434,original, ,33 329,694,NO,NO
32813934,1434,original, ,52 375,793,NO,NO
32813862,1436,original, ,61 898,1031,NO,NO
32813834,1436,original, ,28 473,749,NO,NO
32805277,1434,copy,32798758,39 995,769,NO,NO
32813768,1436,original, ,26 949,817,NO,NO
32703835,1434,original, ,60 564,1143,NO,NO
32813731,1434,original, ,51 423,833,NO,NO
32773267,1434,original, ,39 995,869,NO,YES
32703841,1434,original, ,58 279,1143,NO,NO
32690597,1434,original, ,88 561,963,NO,NO
32106162,1434,original, ,27 616,600,NO,NO
